date,feature1,feature2,feature3,senti_0,senti_1,senti_2,senti_3,senti_4,close,change
1520956800,-8679189.181,2.731376916,-21.7836775,1300,3100,2700,2300,600,33.645,0.09
1521043200,-7727693.681,-0.06499873,-19.30196013,800,2800,3600,2200,500,33.8,0.11
1521129600,-6999787.181,-4.273441168,-9.419162566,700,2700,3100,2700,800,33.69,0.25
1521388800,-7865442.181,-11.51742786,14.5813423,500,2400,2700,3200,1200,33.49,-0.12
1521475200,-4077441.181,-14.75884077,42.56770562,600,2100,2800,3100,1300,33.415,-0.25
1521561600,1563955.819,-11.49403555,60.34363141,800,2900,3600,2200,400,33.62,0.04
1521648000,6573072.319,-7.928483506,78.49967178,800,3000,4100,1800,300,33.74,0.31
1521734400,7637167.819,-4.681479557,94.56910593,700,2700,2800,2700,1100,33.545,0.59
1521993600,1356971.819,5.083697734,79.91880066,500,1900,2800,3500,1400,33.035,0.09
1522080000,-3293125.681,12.11091832,65.32265316,600,2200,4400,2200,500,32.65,0.1
1522166400,-6832266.681,9.526275446,76.03615308,600,2200,2900,3200,1100,32.545,-0.03
1522252800,-7654742.181,13.7365519,71.39565913,600,1900,2000,3800,1700,32.505,0.07
1522598400,535930.3187,19.5528706,68.78732595,900,1700,3300,2900,1100,32.48,0.22
1522684800,988271.8187,18.95979825,73.30728312,1300,2900,3100,2100,500,32.315,0.01
1522771200,-2228946.681,19.98416146,68.97266029,700,2500,4400,2100,300,32.185,-0.2
1522857600,-1864578.181,23.11479937,60.09511555,500,2000,4600,2400,500,32.295,0.19
1522944000,-1996738.681,22.33709335,59.40062721,900,3500,4000,1400,100,32.3,0.63
1523203200,-3788577.181,19.38676659,64.3870881,600,2000,2200,3100,2100,31.835,-0.25
1523289600,-7633133.681,26.24482948,36.20904596,600,2300,4100,2500,500,31.62,-0.1
1523376000,-6821707.181,34.2317463,-2.237749941,1800,3800,2400,1500,500,31.815,0.22
1523462400,2127906.819,35.32377187,-21.77820465,500,1600,3300,3400,1200,31.745,-0.6
1523548800,990041.8188,28.87214058,-33.95531182,700,2400,3400,2700,800,31.96,0.08
1523808000,-1435348.681,20.46741153,-39.27424972,800,2600,3700,2400,500,32.255,0.19
1523894400,2715727.319,16.36498928,-45.69197489,600,2400,4300,2300,400,32.1,0.45
1523980800,-3003020.181,9.808840825,-55.04867129,600,2300,3800,2500,800,31.735,-0.05
1524067200,-8017924.681,2.396823566,-58.13446415,500,1800,2300,3700,1700,31.51,0.09
1524153600,-6420127.181,-4.727331262,-48.73058872,900,3600,3700,1500,200,31.49,0.18
