date,feature1,feature2,feature3,publication_date,negative,positive,close,change
1523808000,-38.34451839,8.31379561,-3589326.527,1523808000,-39,9,74.355,0.72
1523894400,-46.20551192,9.390190699,-1876858.027,1523894400,-47,10,74.39,0.91
1523980800,-51.07687187,11.8905377,-1499256.027,1523980800,-52,12,73.53,0.21
1524067200,-48.67942379,15.84567105,-3108485.527,1524067200,-49,16,72.94,0.01
1524153600,-37.19938216,16.0251412,1947059.473,1524153600,-38,17,72.825,0.12
1524412800,-21.70893935,19.2608875,1336703.473,1524412800,-22,20,72.755,-0.03
1524499200,5.13788705,22.90157731,3021914.473,1524499200,6,23,72.705,-0.42
1524585600,33.06028157,20.70461892,8720628.473,1524585600,34,21,72.94,0.96
1524672000,29.63593232,13.38295725,12722750.47,1524672000,30,14,72.655,-0.32
1524758400,5.63143532,4.779470788,19994511.97,1524758400,6,5,72.32,0.09
1525017600,1.463359766,4.295886612,19491792.97,1525017600,2,5,72.445,-1.19
1525104000,9.095312861,8.220352706,11059866.47,1525104000,10,9,73.025,0.41
1525190400,14.78134025,12.36755783,4033564.973,1525190400,15,13,73.435,0.02
1525276800,20.2962715,12.89553292,3900349.973,1525276800,21,13,73.405,1.03
1525363200,16.01025449,12.36840185,1430511.473,1525363200,17,13,73.045,1.03
1525622400,3.098628829,13.27384622,-2019727.527,1525622400,4,14,71.955,-1
1525708800,-4.756422407,13.49673646,-1543095.527,1525708800,-5,14,71.94,-0.3
1525795200,-11.55954147,12.44083847,-400.0270788,1525795200,-12,13,72.63,0.37
1525881600,-29.73029969,11.49439519,-548635.0271,1525881600,-30,12,72.595,-0.26
1525968000,-41.62870586,15.23043788,-5823182.027,1525968000,-42,16,72.54,0.5
1526227200,-44.69308199,18.1733978,-7290179.527,1526227200,-45,19,72.415,-0.1
1526313600,-41.82331753,18.19038946,-3382332.527,1526313600,-42,19,72.205,-0.3
1526400000,-31.01030585,21.98144342,-4417023.527,1526400000,-32,22,72.42,-0.11
1526486400,-3.405711948,30.23882925,-8090670.527,1526486400,-4,31,72.64,-0.32
1526572800,25.82666052,34.39920467,-7850121.527,1526572800,26,35,72.87,-0.11
1526832000,25.04952108,31.52561366,-6762246.027,1526832000,26,32,73.1,-0.84
1526918400,15.99370584,29.47741506,-7974571.527,1526918400,16,30,73.605,-0.13
1527004800,-1.742755737,24.30994237,-7060194.027,1527004800,-2,25,74.12,0.56
