date,feature1,feature2,feature3,senti_0,senti_1,senti_2,senti_3,senti_4,close,change
1525104000,42.02605461,5.760122833,3792990.873,900,2600,2900,2700,900,35.49,-0.17
1525190400,37.46132438,8.273985478,-1526530.127,1100,3000,2800,2400,700,35.905,-0.31
1525276800,42.29291916,6.988854816,-1046425.627,800,2900,3300,2300,600,36.17,0.43
1525363200,41.40098799,8.269423828,-1114352.627,1400,3100,3100,1900,500,36.105,-0.24
1525622400,33.43447045,11.23931467,-5251963.127,900,2800,3500,2300,600,36.005,-0.41
1525708800,23.69924498,13.63784271,-7559803.627,800,2700,3200,2600,700,36.365,0.16
1525795200,11.17207152,15.96646526,-7788910.627,800,2400,3000,2900,1000,36.5,-0.02
1525881600,-13.51002667,21.13238882,-8944352.127,500,2100,3400,3000,1000,36.42,0.12
1525968000,-34.09852768,21.9788021,-11155616.13,1000,3100,3300,2200,500,36.365,-0.17
1526227200,-42.7439455,17.47380591,-9574471.627,1000,2900,2900,2600,600,36.395,0.11
1526313600,-39.92642783,9.709159437,-6420649.127,700,2500,3400,2800,600,36.565,0.26
1526400000,-34.52296344,2.523642912,-9229519.127,900,2900,3100,2400,700,36.495,0.79
1526486400,-33.87519734,-1.101861272,-11649544.63,700,2500,3200,2800,800,35.91,0.14
1526572800,-10.29980522,-11.34566658,-7939802.127,1100,3000,2800,2400,700,35.39,0.31
1526832000,13.22330311,-17.51035078,-3692412.627,600,2300,3600,2800,700,35.14,0.2
1526918400,17.87633548,-14.68693491,-6027590.627,800,2600,3400,2700,500,34.86,0.07
1527004800,5.00206596,-6.216973011,-8433566.627,1100,3200,3000,2200,500,34.71,0.15
1527091200,-9.004393661,0.074671353,-8104813.127,600,2100,3000,3400,1000,34.585,-0.21
1527177600,-20.29984569,2.97535636,-9107531.127,1200,2600,3000,2500,700,34.615,-0.02
1527523200,-32.78820192,5.232271916,-6814324.127,1300,3400,2600,2100,600,34.74,0.17
1527609600,-33.49237839,2.27219965,-3733559.127,700,2600,2900,2800,900,34.655,0.03
1527696000,-27.60323075,-2.174645979,-379261.1271,1300,3300,2700,2100,500,34.545,0.05
1527782400,-31.74092807,-1.563297488,2856562.373,700,2200,2900,3100,900,34.5,-0.19
1528041600,-39.39731321,-0.751613937,-1355463.627,500,1800,2400,3800,1500,34.575,0.4
1528128000,-31.98147499,-6.151775356,-6103537.127,600,2200,2800,3200,1300,34.46,-0.01
1528214400,-29.78849248,-7.727718019,-5894886.127,600,2400,3000,3000,1000,34.245,0.3
1528300800,-17.82152525,-11.92113117,-2940340.627,600,2100,2800,3300,1100,34.085,0.24
1528387200,16.8523103,-22.1097577,993408.8729,900,1900,2400,3500,1200,33.785,-0.21
1528646400,51.35652129,-28.07527903,71534.37293,600,2200,3100,3100,900,33.765,0.22
1528732800,69.14519,-25.03366772,-3692421.127,800,2100,2900,3100,1100,33.755,-0.64
1528819200,71.85863475,-16.26992104,-5252883.627,400,1700,2300,4000,1600,33.985,0.79
1528905600,63.91744662,-5.535375744,-5190440.627,800,2500,3000,2900,800,33.9,-0.25
